Time s,Velocity km/h,Elevation m,Throttle pct,Motor Torque Nm,Longitudinal Acceleration m/s^2,Regenerative Braking Signal ,Battery Voltage V,Battery Current A,Battery Temperature C,max. Battery Temperature C,SoC pct,displayed SoC pct,min. SoC pct,max. SoC pct),Heating Power CAN kW,Requested Heating Power W,AirCon Power kW,Heater Signal,Ambient Temperature C,Heat Exchanger Temperature C,Cabin Temperature Sensor C,Trip,Season,Power kW,Is_Stationary,Is_Highway,Is_City,Is_Braking,Is_Accelerating,Is_Regen,Heating_Active,AC_Active,Climate_Power kW,Temp_Diff C,Elevation_Change m,SoC_Change,Velocity_Rolling_30s,Power_Rolling_30s,Energy_per_km,High_Consumption,Distance km
0.0,0.0,574.0,0.0,0.0,-0.03,0.0,391.4,-2.2,21.0,22.0,86.9,100.0,8.0,90.0,0.0,85.0,0.4,1,25.5,30.5,24.5,TripA01,Summer,-0.8610800000000001,1,0,0,0,0,0,0,0,0.4,-1.0,0.0,0.0,0.0,-0.8610800000000001,0.15186417879374253,1,7.42768972222222
10.0,6.11,574.0,26.58,3.38,0.01,0.0,391.3,-3.28,21.0,22.0,86.9,100.0,8.0,90.0,0.0,85.0,0.4,1,25.5,29.5,24.5,TripA01,Summer,-1.283464,0,0,1,0,0,0,0,0,0.4,-1.0,0.0,0.0,2.5235643564356436,-1.6283314999999998,0.15186417879374253,1,7.42768972222222
20.0,7.31,574.0,32.95,31.42,0.62,0.0,390.8,-8.79,21.0,22.0,86.9,100.0,8.0,90.0,0.0,85.0,0.44,1,26.0,29.0,24.67,TripA01,Summer,-3.4351319999999994,0,0,1,0,1,0,0,0,0.44,-1.3299999999999983,0.0,0.0,5.130746268656717,-1.4979381885572138,0.15186417879374253,1,7.42768972222222
30.0,30.8,574.0,36.38,15.15,0.14,0.0,389.93,-13.5,21.0,22.0,86.8,100.0,8.0,90.0,0.0,85.0,0.48,1,26.5,28.25,24.67,TripA01,Summer,-5.264055,0,0,1,0,0,0,0,0,0.48,-1.8299999999999983,0.0,0.0,9.774833333333333,-4.0570227150000004,0.15186417879374253,1,7.42768972222222
40.0,36.85,574.0,35.28,6.5,-0.1,0.0,390.2,-8.5,21.0,22.0,86.7,100.0,8.0,90.0,0.0,85.0,0.48,1,27.0,27.5,24.84,TripA01,Summer,-3.3167,0,0,1,0,0,0,0,0,0.48,-2.16,0.0,0.0,20.35326666666667,-5.759793745333333,0.15186417879374253,1,7.42768972222222
50.0,31.33,574.0,0.9,-24.72,-0.68,0.0,392.23,15.52,21.0,22.0,86.7,100.0,8.0,90.0,0.0,85.0,0.48,1,27.35,27.0,25.01,TripA01,Summer,6.0874096,0,0,1,1,0,0,0,0,0.48,-2.34,0.0,0.0,29.660733333333337,-5.801443533,0.15186417879374253,1,7.42768972222222
60.0,35.01,574.0,30.63,0.03,-0.17,0.0,390.6,-3.66,21.0,22.0,86.6,100.0,8.0,90.0,0.0,85.0,0.48,1,27.5,26.5,24.84,TripA01,Summer,-1.4295960000000003,0,0,1,0,0,0,0,0,0.48,-2.66,0.0,0.0,33.5425,-4.579367189333333,0.15186417879374253,1,7.42768972222222
70.0,34.03,574.0,28.6,3.93,-0.19,0.0,389.93,-10.06,22.0,22.0,86.6,100.0,8.0,90.0,0.0,85.0,2.48,1,28.0,25.5,25.01,TripA01,Summer,-3.9226958000000005,0,0,1,0,0,0,0,1,2.48,-2.9899999999999984,0.0,0.0,32.93106666666667,-3.7902958456666664,0.15186417879374253,1,7.42768972222222
80.0,26.85,574.0,6.08,-53.58,-1.15,0.0,392.51,20.85,22.0,22.0,86.6,100.0,8.0,90.0,0.0,85.0,2.38,1,28.0,24.5,25.01,TripA01,Summer,8.1838335,0,0,1,1,0,0,0,1,2.38,-2.9899999999999984,0.0,0.0,31.62536666666666,-4.182292187000001,0.15186417879374253,1,7.42768972222222
90.0,32.17,574.0,43.95,37.27,0.55,0.0,387.94,-33.83,22.0,22.0,86.5,100.0,8.0,90.0,0.0,85.0,2.0,1,28.5,23.5,25.01,TripA01,Summer,-13.124010199999999,0,0,1,0,1,0,0,1,2.0,-3.4899999999999984,0.0,0.0,30.285633333333337,-4.873343189666667,0.15186417879374253,1,7.42768972222222
