Trip,High_Consumption,Energy_per_km,Season,Distance,Velocity_mean,Velocity_max,Velocity_std,Pct_Stationary,Pct_City,Pct_Highway,Pct_Braking,Pct_Accelerating,Pct_Regen,Throttle_mean,Torque_mean,Accel_std,SoC_start,SoC_end,Battery_Temp_mean,Battery_Voltage_mean,Battery_Current_mean,Power_mean,Power_min,Ambient_Temp,Climate_Power_mean,Heating_Active_Pct,AC_Active_Pct,Temp_Diff_mean,Cabin_Temp_mean,Elevation_mean,Elevation_Change_std,Elevation_gain,SoC_Drop,Duration_min,Date,Route/Area,Weather,Distance km,Ambient Temperature (Start) C,Target Cabin Temperature
TripA01,1,0.15186417879374253,Summer,7.42768972222222,26.502170465807733,53.3,15.497032054699728,0.11238850346878097,0.8716551040634292,0.0,0.18731417244796827,0.20366699702675917,0.11942517343904856,26.470424182358773,8.106545094152626,0.7416694922180534,86.9,81.5,21.940140733399403,388.4839960356789,-11.953475718533202,-4.599702953389494,-38.454309,30.769972249752232,1.6532913776015856,0.008523290386521309,0.9369672943508425,-6.862914767096134,23.907057482656096,566.7916253716551,0.004690566320266672,7.0,5.400000000000006,16.815,2019-06-25_13-21-14,Munich East,sunny,7.42768972222222,25.5,23.0
TripA02,0,0.10395704951829995,Summer,23.5097091666667,59.90926680820948,132.7,32.86805945393293,0.0,0.5157820240622788,0.30148619957537154,0.19766454352441615,0.2121726822363765,0.1221514508138712,34.004456475583865,10.324760084925689,0.7905617826096585,80.3,67.3,24.97295966029724,381.5538365180467,-20.3847381457891,-7.477186430601558,-103.55983439999999,31.127573248407643,0.5087062986553432,0.011748053786270347,0.3491861288039632,-9.229142958244868,21.898430290162775,561.7211514508139,0.00784827296947259,19.0,13.0,23.548333333333336,2019-06-25_14-05-31,Munich East,sunny,23.5097091666667,32.0,23.0
TripA03,0,0.12317439787623659,Summer,12.8208461111111,68.82649269311065,143.82,38.04722886487951,0.03250820161049806,0.33626603042051895,0.3455114822546973,0.14926931106471816,0.1504622725917089,0.062332239785266925,34.60188487921264,12.101808827915299,0.6528824480998745,83.5,75.1,25.100571130331044,384.5481195943931,-27.917230838055474,-10.492121213927826,-111.31468770000001,23.33491649269311,1.8739934387116015,1.0,0.3733969579481062,1.5689994035192372,24.903915896212347,578.9355666567253,0.005219894122759915,13.0,8.400000000000006,11.175,2019-06-28_10-02-15,Munich East,sunny,12.8208461111111,21.5,27.0
TripA04,1,0.1472105586247005,Summer,10.7274913888889,93.64541464597478,136.94,41.69304722144326,0.08826382153249272,0.10063045586808923,0.7580019398642095,0.10208535402521823,0.1636760426770126,0.04510184287099903,37.62478419010669,17.73911251212415,0.7018307486628828,75.1,66.7,26.817953443258972,377.7678734238603,-45.05682832201745,-16.58604196483996,-127.759607,24.42395732298739,0.6178903976721629,0.07419980601357905,0.0497090203685742,-2.2575678952473326,22.166389427740057,582.0,0.0,0.0,8.399999999999991,6.871666666666667,2019-06-28_10-13-30,Munich East,sunny,10.7274913888889,24.0,22.0
TripA05,0,0.0986022726644892,Summer,12.3932234722222,32.64633716250823,80.83,18.15133675986249,0.05721811663130168,0.8006877881027292,0.002707251042657496,0.1709226604229165,0.17165434989390502,0.11341186800321944,29.320499012219216,7.884861344845247,0.7286499282595904,66.7,60.2,27.0,378.8403760883881,-10.593943806248628,-3.962402903014561,-88.5202987,24.587442745298898,1.9953149923172606,1.0,0.00234140630716324,-1.3139994146484226,23.273443330650473,568.9571368991001,0.0045240897411113245,13.0,6.5,22.776666666666664,2019-06-28_10-20-26,Munich East,sunny,12.3932234722222,24.5,24.0
TripA06,0,0.08869956621490245,Summer,45.9934605555555,52.32310254384579,125.88,35.34594238529071,0.04796966345394217,0.4048348870279665,0.24721124980249645,0.09277927002686048,0.09021962395323116,0.03684626323273819,31.518960025280453,7.524793806288513,0.47920092527191754,85.1,63.4,26.66291294043293,384.4749698214568,-15.050014536261653,-5.71395680275873,-106.0136466,30.183234318217725,5.945363248538474,1.0,0.9043450782114079,-3.765975035550639,26.41725928266709,517.0825640701532,0.004703585293062678,0.0,21.699999999999996,52.74,2019-07-01_09-05-25,Munich North,sunny,45.9934605555555,26.5,26.0
TripA07,0,0.12381835125807249,Summer,44.3359158333333,76.24785506138633,133.29,33.69871472122658,0.013758180862752592,0.20809248554913296,0.4475708211914202,0.07619548081975827,0.08866383222662781,0.016576697081163713,37.7827425595949,12.634701667224002,0.4481035046139346,63.4,34.2,30.62314718387235,367.2778163665027,-30.931805761238238,-11.265101669120527,-106.10893800000001,29.168126403286678,1.332594468064778,0.024984474275068076,0.9680886638322266,1.4594262647494396,30.627552668036117,528.4468021783787,0.007669536788326716,103.0,29.199999999999996,34.88666666666666,2019-07-01_12-59-48,Munich North,sunny,44.3359158333333,33.5,25.0
TripA08,0,0.10829120706988073,Summer,18.2286268055556,23.387536262874658,108.02,26.485408439425928,0.26013043943119857,0.5789586229017427,0.04023664421397769,0.15495919312876438,0.14120246623186855,0.08638939377739763,18.652408139990733,5.8860276560105484,0.6723655651709002,86.6,76.1,26.430538151751666,388.3655048291101,-8.250518550197796,-3.142880656559393,-96.85985679999999,27.53847998859546,0.9435934994119534,0.07010228447200542,0.33543604547560496,-0.19090202786984475,27.347577960725616,549.9079657151003,0.004037136354870219,2.0,10.5,46.763333333333335,2019-07-02_17-36-31,Munich East,slightly cloudy,18.2286268055556,27.0,25.0
TripA09,0,0.0983426169515197,Summer,11.6612719444444,22.885182621020498,56.25,16.12048402364634,0.1136611426079372,0.8692215438290449,0.0,0.12559965111208024,0.1591801133885739,0.06127344090710859,25.672074247710423,9.327553968600087,0.6305777004449076,74.7,68.6,22.0,384.73400239860445,-7.368554840819886,-2.8120641923353684,-50.33528,18.11106138246838,0.32236807675534235,0.05287832533798517,0.019188835586567816,3.3643382032272138,21.475399585695595,539.621897623201,0.0037950114080106496,32.0,6.1000000000000085,30.571666666666665,2019-07-03_08-05-00,Munich East,slightly cloudy,11.6612719444444,17.5,21.0
TripA10,0,0.10067704671019613,Summer,16.2460069444444,41.25678964446953,89.39,24.14506771603904,0.02863995485327314,0.5122742663656885,0.008112302483069978,0.11293735891647856,0.1100451467268623,0.045146726862302484,31.854361597065463,9.259578865688487,0.5583946540827716,69.6,60.9,22.642701044018057,378.64362584650115,-13.690155897291197,-5.130303546388261,-87.7633176,23.99351650677201,0.6516337471783296,0.06877821670428894,0.20612302483069977,3.5386822799097075,27.532198786681718,560.2390166478555,0.004693902155222277,31.0,8.699999999999996,23.625,2019-07-03_12-16-12,Munich East,slightly cloudy,16.2460069444444,22.5,25.0
